geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US17031839700,"Census Tract 8397, Cook, IL",5024,786,3075,515,1637,336,80,67,20,29,1238,337,0,17,0,17,100,95,33,51,67,81,1949,621,989,345,0,17,27,44,0,17,0,17,624,462,309,219,219,167,90,144
14000US17031839800,"Census Tract 8398, Cook, IL",2703,382,2200,436,1440,340,116,90,0,12,636,204,0,12,0,12,8,13,0,12,8,13,503,207,436,204,0,12,0,12,0,12,0,12,39,37,28,34,28,34,0,12
14000US17031839900,"Census Tract 8399, Cook, IL",4759,545,3094,444,2338,405,86,75,0,12,670,202,0,12,0,12,0,12,0,12,0,12,1665,399,638,367,0,12,28,44,0,12,0,12,726,327,273,162,145,102,128,121
14000US17031840000,"Census Tract 8400, Cook, IL",2731,391,2111,375,1083,207,20,24,0,12,984,392,0,12,16,25,8,14,0,12,8,14,620,306,195,134,0,12,87,120,0,12,0,12,189,227,149,94,149,94,0,12
14000US17031840100,"Census Tract 8401, Cook, IL",3116,432,2805,416,773,295,14,18,0,12,1892,418,0,12,0,12,126,127,102,122,24,35,311,155,256,154,0,12,0,12,0,12,0,12,55,51,0,12,0,12,0,12
14000US17031840200,"Census Tract 8402, Cook, IL",2315,297,1881,288,438,141,13,15,0,12,1399,274,0,12,0,12,31,32,0,12,31,32,434,187,151,90,0,12,0,12,4,7,0,12,279,171,0,12,0,12,0,12
14000US17031840300,"Census Tract 8403, Cook, IL",3668,487,1794,290,384,131,91,84,0,12,1319,267,0,12,0,12,0,12,0,12,0,12,1874,521,617,289,26,40,0,12,0,12,0,12,1025,504,206,212,195,213,11,18
14000US17031840400,"Census Tract 8404, Cook, IL",3427,655,1962,344,455,163,0,12,0,12,1507,369,0,12,0,12,0,12,0,12,0,12,1465,592,1109,551,0,12,0,12,34,48,0,12,221,137,101,113,42,62,59,93
14000US17031840700,"Census Tract 8407, Cook, IL",4116,1118,886,472,565,457,145,143,0,12,111,105,0,12,0,12,65,62,0,12,65,62,3230,924,514,315,0,12,75,111,0,12,0,12,2155,829,486,357,296,226,190,290
14000US17031840800,"Census Tract 8408, Cook, IL",3373,596,79,73,38,55,41,50,0,12,0,12,0,12,0,12,0,12,0,12,0,12,3294,586,971,476,0,12,73,102,0,12,0,12,1651,429,599,420,546,414,53,29
14000US17031841000,"Census Tract 8410, Cook, IL",1089,145,1076,139,332,105,384,134,0,12,321,120,0,12,0,12,39,24,0,12,39,24,13,20,13,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US17031841100,"Census Tract 8411, Cook, IL",7065,868,6973,861,811,371,112,138,0,17,6050,869,0,17,0,17,0,17,0,17,0,17,92,101,0,17,0,17,1,3,0,17,0,17,91,101,0,17,0,17,0,17
14000US17031841200,"Census Tract 8412, Cook, IL",4455,794,1059,331,650,205,277,254,14,23,44,50,0,12,74,85,0,12,0,12,0,12,3396,830,1268,364,21,36,41,48,0,12,0,12,1468,629,598,504,522,496,76,78
14000US17031841300,"Census Tract 8413, Cook, IL",4333,732,1085,289,660,194,140,103,0,12,141,79,0,12,0,12,144,152,0,12,144,152,3248,720,1183,577,0,12,101,110,0,12,0,12,1617,483,347,189,273,175,74,80
14000US17031841500,"Census Tract 8415, Cook, IL",2255,504,2168,496,75,54,2070,497,0,12,11,25,0,12,0,12,12,18,0,12,12,18,87,79,34,53,0,12,11,24,0,12,0,12,8,13,34,51,0,12,34,51
14000US17031841700,"Census Tract 8417, Cook, IL",1123,262,516,116,114,61,373,94,0,12,0,12,0,12,0,12,29,32,0,12,29,32,607,245,38,49,39,43,0,12,0,12,0,12,371,231,159,130,109,123,50,48
14000US17031841800,"Census Tract 8418, Cook, IL",2486,453,2376,437,41,36,2285,441,0,12,0,12,0,12,8,11,42,42,0,12,42,42,110,123,0,12,0,12,0,12,0,12,0,12,101,119,9,14,9,14,0,12
14000US17031841900,"Census Tract 8419, Cook, IL",6181,597,5522,603,3050,460,1002,292,47,40,1187,261,17,24,85,77,134,75,0,17,134,75,659,209,473,164,31,31,0,17,14,21,0,17,40,32,101,82,92,81,9,18
14000US17031842000,"Census Tract 8420, Cook, IL",3058,381,2819,350,1094,168,1027,252,0,12,630,181,0,12,0,12,68,51,0,12,68,51,239,126,135,73,60,93,2,6,0,12,0,12,11,17,31,40,25,35,6,12
14000US17031842100,"Census Tract 8421, Cook, IL",6797,1028,3708,1072,340,135,3145,1015,0,17,101,114,0,17,38,61,84,118,0,17,84,118,3089,886,1092,499,274,253,199,328,72,124,0,17,706,490,746,721,661,716,85,108
14000US17031842200,"Census Tract 8422, Cook, IL",3670,623,3494,629,2464,346,417,144,0,12,347,190,0,12,0,12,266,338,11,16,255,338,176,122,76,60,0,12,7,13,0,12,0,12,44,58,49,76,0,12,49,76
14000US17031842300,"Census Tract 8423, Cook, IL",3678,539,3359,450,2453,419,573,233,0,12,214,131,0,12,0,12,119,94,10,16,109,92,319,215,188,167,0,12,0,12,0,12,0,12,84,70,47,64,47,64,0,12
14000US17031842400,"Census Tract 8424, Cook, IL",3008,535,2998,538,36,58,2861,521,0,12,56,97,0,12,0,12,45,73,0,12,45,73,10,17,10,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US17031842500,"Census Tract 8425, Cook, IL",2329,387,2293,397,2,4,2232,399,0,12,48,64,0,12,0,12,11,16,0,12,11,16,36,45,0,12,0,12,36,45,0,12,0,12,0,12,0,12,0,12,0,12
14000US17031842600,"Census Tract 8426, Cook, IL",4450,538,3019,571,2052,516,302,233,1,4,462,106,0,12,79,115,123,138,0,12,123,138,1431,348,466,262,10,16,0,12,0,12,0,12,719,305,236,158,200,152,36,42
14000US17031842800,"Census Tract 8428, Cook, IL",6620,1376,746,376,486,278,0,17,0,17,222,247,0,17,0,17,38,61,0,17,38,61,5874,1360,2429,1191,0,17,53,61,0,17,36,56,3148,1042,208,155,208,155,0,17
14000US17031842900,"Census Tract 8429, Cook, IL",2949,372,2718,406,573,276,1695,330,0,12,131,141,0,12,150,136,169,188,0,12,169,188,231,213,9,15,14,31,5,8,0,12,0,12,106,102,97,109,0,12,97,109
14000US17031843000,"Census Tract 8430, Cook, IL",2509,478,2455,482,110,147,2345,498,0,12,0,12,0,12,0,12,0,12,0,12,0,12,54,50,14,21,32,37,0,12,0,12,0,12,8,11,0,12,0,12,0,12
14000US17031843100,"Census Tract 8431, Cook, IL",1545,335,1402,347,193,88,1167,328,0,12,13,16,0,12,0,12,29,46,0,12,29,46,143,102,29,28,7,14,0,12,0,12,0,12,67,83,40,49,40,49,0,12
14000US17031843200,"Census Tract 8432, Cook, IL",2276,354,847,241,695,232,70,54,0,12,37,50,0,12,0,12,45,36,0,12,45,36,1429,303,558,189,34,86,10,16,0,12,0,12,638,263,189,120,127,113,62,50
14000US17031843300,"Census Tract 8433, Cook, IL",1558,417,1263,417,147,90,1007,394,0,12,25,26,0,12,0,12,84,127,81,127,3,6,295,134,58,42,48,74,0,12,0,12,0,12,126,101,63,64,35,43,28,49
14000US17031843400,"Census Tract 8434, Cook, IL",1099,194,736,243,19,24,717,239,0,12,0,12,0,12,0,12,0,12,0,12,0,12,363,167,145,99,0,12,28,44,0,12,0,12,180,139,10,16,10,16,0,12
